"line_code","env_code","DTA","DTS","PH","EH","grain_moisture","yield_bu_ac"
"ARGNETINE FLINTY COMPOSITE-C(1)-37-B-B-B2-1-B25/LH195","DEH1_14",71.9770047182905,71.0523157300783,219.70702719415,108.96501109304,22.4545149169768,219.320942386561
"B37/MO17","DEH1_14",65.9999999999994,67.4999999999999,236.561961114863,138.968276148049,19.2487937021189,217.839734608528
"B37/OH43","DEH1_14",64.9999999999994,66.9999999999999,226.061961114863,110.968276148049,20.6987937021189,204.111973008528
"B73/MO17","DEH1_14",64.9999999999994,65.9999999999999,230.061961114863,112.468276148049,18.4987937021189,238.896005508528
"B73_NC230-041-1-1-1-1/LH195","DEH1_14",67.0043376286344,70.0817489476839,212.366625051492,101.849045207888,21.5056328077209,191.495013507206
"B73_NC230-126-1-1-1-1/LH195","DEH1_14",69.8868535586243,69.9618069353031,199.140846849629,90.3296479420276,19.6277229028665,173.729446895419
"B73_NC230-127-1-1-1-1/LH195","DEH1_14",68.3868535586244,68.4618069353031,226.140846849629,103.329647942028,20.5777229028665,189.445505495419
"B73_NC230-128-1-1-1-1/LH195","DEH1_14",69.8868535586243,69.9618069353031,224.640846849629,107.329647942028,20.5777229028665,184.017955145419
"B73_NC230-129-1-1-1-1/LH195","DEH1_14",67.3868535586244,69.9618069353031,226.140846849629,109.829647942028,21.9277229028665,200.338514195419
"B73/PHG35","DEH1_14",64.9999999999994,65.9999999999999,220.561961114863,112.968276148049,17.5487937021189,197.037060258528
"B73/PHM49","DEH1_14",64.9999999999994,66.9999999999999,228.061961114863,128.968276148049,19.7987937021189,226.151766108528
"B73/PHN82","DEH1_14",65.9999999999995,68.4999999999999,244.061961114863,122.968276148049,20.0487937021189,209.189275958528
"B73/TX205","DEH1_14",68.4999999999994,68.4999999999999,265.061961114863,137.968276148049,19.9487937021189,200.079561658528
"CG120/LH185","DEH1_14",61.3724626405562,61.5780181937998,194.040279162543,90.9614066987093,18.3278708391621,157.210796783292
"CG65/LH185","DEH1_14",62.3724626405562,63.5780181937998,229.040279162543,112.461406698709,18.3778708391621,176.916702083292
"CGR01/LH185","DEH1_14",62.2557005980191,62.7095126755391,218.097679122128,114.370730792373,17.0175526415229,184.115964767796
"CGR03/LH185","DEH1_14",62.4892246830932,64.4465237120604,240.982879202959,134.552082605046,23.4381890368014,180.188324498787
"DKC54-40 RIB GENVT2P","DEH1_14",60.6296580995903,61.8604213593271,225.139719651188,116.813304043578,18.8714891703266,202.032695177978
"DKC57-77 RIB GENVT2P","DEH1_14",62.9442177669658,63.0155546773693,203.671283971009,85.725981873256,19.3863302586511,185.206031536964
"DKC61-89 RIB GENVT2P","DEH1_14",63.5256259699004,64.2659330302463,223.942682789287,118.998001420487,20.1768898216351,244.040425237579
"DKC62-08 RIB GENSS","DEH1_14",65.9247336794232,65.3151669619394,205.623653178337,97.2132088958743,19.5661928780662,225.246753509913
"DKC63-87 RIB GENVT2P","DEH1_14",64.6296580995902,64.7699125645515,227.340563006086,114.145527320368,19.4027968710143,227.269256664355
"DKC64-69 RIB GENVT3P","DEH1_14",63.4001115785879,64.3151669619392,221.544847398847,98.9124477142448,20.4376885999053,233.184700925735
"DKC65-19 RIB GENVT3P","DEH1_14",63.9999999999993,64.9999999999998,212.499999999943,98.0000000000348,20.6000000000061,241.992199350015
"LH132/LH51","DEH1_14",62.9999999999994,63.9999999999999,230.061961114863,103.468276148049,18.4487937021189,209.613369558528
"LH162/CG60","DEH1_14",53.9999999999994,54.9999999999999,193.561961114863,91.968276148049,18.5987937021189,166.490083308529
